GameDate,GameID,Season,SeasonStage,startTimeUTC,Team,Opponent,Venue,GF,GA,Win,Points,Game_No,B2B,Opp_B2B
2024-10-10 00:00:00.000,2024020018,20242025,Regular,2024-10-11 02:00:00.000,MIN,CBJ,Home,3,2,1,2,1,0,0
2025-01-07 00:00:00.000,2024020029,20242025,Regular,2025-01-08 01:00:00.000,TBL,CAR,Home,3,2,1,2,38,0,0
2024-10-15 00:00:00.000,2024020054,20242025,Regular,2024-10-16 02:00:00.000,DAL,SJS,Home,3,2,1,2,4,0,0
2024-10-17 00:00:00.000,2024020066,20242025,Regular,2024-10-18 01:00:00.000,WSH,DAL,Home,3,2,1,2,3,0,0
2024-10-24 00:00:00.000,2024020117,20242025,Regular,2024-10-25 04:30:00.000,LAK,SJS,Home,3,2,1,2,8,0,0
2024-10-26 00:00:00.000,2024020124,20242025,Regular,2024-10-26 22:00:00.000,LAK,UTA,Home,3,2,1,2,9,0,0
2024-10-28 00:00:00.000,2024020141,20242025,Regular,2024-10-29 00:30:00.000,TBL,NSH,Home,3,2,1,2,9,0,0
2024-10-31 00:00:00.000,2024020167,20242025,Regular,2024-11-01 03:30:00.000,SJS,CHI,Home,3,2,1,2,12,0,0
2024-11-05 00:00:00.000,2024020199,20242025,Regular,2024-11-06 02:00:00.000,STL,TBL,Home,3,2,1,2,13,0,0
2024-11-06 00:00:00.000,2024020205,20242025,Regular,2024-11-07 01:00:00.000,WSH,NSH,Home,3,2,1,2,12,0,0
2024-11-09 00:00:00.000,2024020224,20242025,Regular,2024-11-09 19:00:00.000,BUF,CGY,Home,3,2,1,2,15,0,0
2024-11-11 00:00:00.000,2024020243,20242025,Regular,2024-11-12 03:00:00.000,COL,NSH,Home,3,2,1,2,16,0,0
2024-11-14 00:00:00.000,2024020261,20242025,Regular,2024-11-15 01:00:00.000,NYR,SJS,Home,3,2,1,2,15,0,0
2024-11-14 00:00:00.000,2024020264,20242025,Regular,2024-11-15 03:00:00.000,EDM,NSH,Home,3,2,1,2,17,0,0
2024-11-16 00:00:00.000,2024020273,20242025,Regular,2024-11-16 22:00:00.000,SEA,NYI,Home,3,2,1,2,18,0,0
2024-11-21 00:00:00.000,2024020314,20242025,Regular,2024-11-22 03:00:00.000,CGY,NYR,Home,3,2,1,2,20,0,0
2024-11-23 00:00:00.000,2024020318,20242025,Regular,2024-11-23 19:00:00.000,PHI,CHI,Home,3,2,1,2,21,0,0
2024-11-29 00:00:00.000,2024020363,20242025,Regular,2024-11-29 20:00:00.000,MIN,CHI,Home,3,2,1,2,23,0,0
2024-12-03 00:00:00.000,2024020396,20242025,Regular,2024-12-04 01:00:00.000,BOS,DET,Home,3,2,1,2,27,0,0
2024-12-03 00:00:00.000,2024020402,20242025,Regular,2024-12-04 02:00:00.000,MIN,VAN,Home,3,2,1,2,25,0,0
2024-12-04 00:00:00.000,2024020406,20242025,Regular,2024-12-05 01:30:00.000,TOR,NSH,Home,3,2,1,2,25,0,0
2024-12-04 00:00:00.000,2024020409,20242025,Regular,2024-12-05 04:00:00.000,LAK,DAL,Home,3,2,1,2,26,0,0
2024-12-06 00:00:00.000,2024020423,20242025,Regular,2024-12-07 04:00:00.000,VGK,DAL,Home,3,2,1,2,28,0,0
2024-12-09 00:00:00.000,2024020445,20242025,Regular,2024-12-10 01:30:00.000,MTL,ANA,Home,3,2,1,2,28,0,0
2024-12-10 00:00:00.000,2024020448,20242025,Regular,2024-12-11 01:00:00.000,CAR,SJS,Home,3,2,1,2,28,0,0
2024-12-17 00:00:00.000,2024020499,20242025,Regular,2024-12-18 01:00:00.000,PIT,LAK,Home,3,2,1,2,33,0,0
2024-12-18 00:00:00.000,2024020510,20242025,Regular,2024-12-19 04:00:00.000,UTA,VAN,Home,3,2,1,2,31,0,0
2024-12-19 00:00:00.000,2024020518,20242025,Regular,2024-12-20 03:00:00.000,EDM,BOS,Home,3,2,1,2,32,0,0
2024-12-21 00:00:00.000,2024020528,20242025,Regular,2024-12-21 19:30:00.000,NSH,LAK,Home,3,2,1,2,34,0,0
2024-12-21 00:00:00.000,2024020530,20242025,Regular,2024-12-21 22:00:00.000,EDM,SJS,Home,3,2,1,2,33,0,0
2024-12-31 00:00:00.000,2024020598,20242025,Regular,2025-01-01 02:00:00.000,ANA,NJD,Home,3,2,1,2,36,0,0
2025-01-04 00:00:00.000,2024020622,20242025,Regular,2025-01-04 22:00:00.000,SJS,NJD,Home,3,2,1,2,42,0,0
2025-01-04 00:00:00.000,2024020628,20242025,Regular,2025-01-05 02:00:00.000,DAL,UTA,Home,3,2,1,2,38,0,0
2025-01-07 00:00:00.000,2024020642,20242025,Regular,2025-01-08 01:00:00.000,DET,OTT,Home,3,2,1,2,40,0,0
2025-01-09 00:00:00.000,2024020656,20242025,Regular,2025-01-10 01:00:00.000,NYR,NJD,Home,3,2,1,2,41,0,0
2025-01-11 00:00:00.000,2024020674,20242025,Regular,2025-01-12 01:00:00.000,NJD,TBL,Home,3,2,1,2,45,0,0
2025-01-14 00:00:00.000,2024020703,20242025,Regular,2025-01-15 03:00:00.000,COL,NYR,Home,3,2,1,2,45,0,0
2025-01-16 00:00:00.000,2024020714,20242025,Regular,2025-01-17 02:00:00.000,NSH,CHI,Home,3,2,1,2,44,0,0
2025-01-17 00:00:00.000,2024020721,20242025,Regular,2025-01-18 01:00:00.000,CAR,VGK,Home,3,2,1,2,46,0,0
2025-01-18 00:00:00.000,2024020735,20242025,Regular,2025-01-19 04:00:00.000,VAN,EDM,Home,3,2,1,2,45,0,0
2025-01-25 00:00:00.000,2024020777,20242025,Regular,2025-01-25 22:00:00.000,EDM,BUF,Home,3,2,1,2,49,0,0
2025-01-25 00:00:00.000,2024020782,20242025,Regular,2025-01-26 01:00:00.000,CBJ,LAK,Home,3,2,1,2,50,0,0
2025-01-30 00:00:00.000,2024020817,20242025,Regular,2025-01-31 01:00:00.000,CAR,CHI,Home,3,2,1,2,52,0,0
2025-02-02 00:00:00.000,2024020837,20242025,Regular,2025-02-02 22:00:00.000,ANA,MTL,Home,3,2,1,2,52,0,0
2025-02-04 00:00:00.000,2024020846,20242025,Regular,2025-02-05 01:00:00.000,BUF,CBJ,Home,3,2,1,2,53,0,0
2025-02-04 00:00:00.000,2024020854,20242025,Regular,2025-02-05 03:00:00.000,UTA,PHI,Home,3,2,1,2,53,0,0
2025-02-23 00:00:00.000,2024020914,20242025,Regular,2025-02-24 02:00:00.000,CGY,SJS,Home,3,2,1,2,56,0,0
2025-02-25 00:00:00.000,2024020919,20242025,Regular,2025-02-26 01:00:00.000,BUF,ANA,Home,3,2,1,2,56,0,0
2025-03-06 00:00:00.000,2024020992,20242025,Regular,2025-03-06 19:00:00.000,CAR,BOS,Home,3,2,1,2,63,0,0
2025-03-06 00:00:00.000,2024020994,20242025,Regular,2025-03-06 20:00:00.000,DAL,CGY,Home,3,2,1,2,62,0,0
2025-03-06 00:00:00.000,2024020995,20242025,Regular,2025-03-06 21:00:00.000,EDM,MTL,Home,3,2,1,2,62,0,0
2025-03-10 00:00:00.000,2024021021,20242025,Regular,2025-03-10 19:00:00.000,BUF,EDM,Home,3,2,1,2,63,0,0
2025-03-11 00:00:00.000,2024021025,20242025,Regular,2025-03-11 19:00:00.000,BOS,FLA,Home,3,2,1,2,66,0,0
2025-03-11 00:00:00.000,2024021028,20242025,Regular,2025-03-11 19:00:00.000,PIT,VGK,Home,3,2,1,2,67,0,0
2025-03-13 00:00:00.000,2024021042,20242025,Regular,2025-03-13 19:30:00.000,NJD,EDM,Home,3,2,1,2,67,0,0
2025-03-20 00:00:00.000,2024021092,20242025,Regular,2025-03-20 19:00:00.000,WSH,PHI,Home,3,2,1,2,69,0,0
2025-03-22 00:00:00.000,2024021105,20242025,Regular,2025-03-22 14:00:00.000,DAL,PHI,Home,3,2,1,2,69,0,0
2025-03-25 00:00:00.000,2024021129,20242025,Regular,2025-03-25 19:00:00.000,BUF,OTT,Home,3,2,1,2,70,0,0
2025-03-25 00:00:00.000,2024021135,20242025,Regular,2025-03-25 20:00:00.000,WPG,WSH,Home,3,2,1,2,72,0,0
2025-03-29 00:00:00.000,2024021167,20242025,Regular,2025-03-29 22:00:00.000,EDM,CGY,Home,3,2,1,2,73,0,0
2025-03-31 00:00:00.000,2024021178,20242025,Regular,2025-03-31 19:00:00.000,NJD,MIN,Home,3,2,1,2,76,0,0
2025-04-01 00:00:00.000,2024021183,20242025,Regular,2025-04-01 19:00:00.000,MTL,FLA,Home,3,2,1,2,74,0,0
2025-04-05 00:00:00.000,2024021215,20242025,Regular,2025-04-05 19:00:00.000,BUF,TBL,Home,3,2,1,2,75,0,0
2025-04-05 00:00:00.000,2024021217,20242025,Regular,2025-04-05 19:00:00.000,MTL,PHI,Home,3,2,1,2,76,0,0
2025-04-07 00:00:00.000,2024021232,20242025,Regular,2025-04-07 22:30:00.000,ANA,EDM,Home,3,2,1,2,77,0,0
2025-04-08 00:00:00.000,2024021244,20242025,Regular,2025-04-08 21:30:00.000,COL,VGK,Home,3,2,1,2,79,0,0
2025-04-10 00:00:00.000,2024021253,20242025,Regular,2025-04-10 19:00:00.000,CBJ,BUF,Home,3,2,1,2,78,0,0
2025-04-12 00:00:00.000,2024021268,20242025,Regular,2025-04-12 18:00:00.000,FLA,BUF,Home,3,2,1,2,80,0,0
2025-04-15 00:00:00.000,2024021298,20242025,Regular,2025-04-15 20:00:00.000,MIN,ANA,Home,3,2,1,2,82,0,0
2024-10-08 00:00:00.000,2024020003,20242025,Regular,2024-10-08 22:30:00.000,STL,SEA,Away,3,2,1,2,1,0,0
2024-10-11 00:00:00.000,2024020022,20242025,Regular,2024-10-12 04:00:00.000,PHI,VAN,Away,3,2,1,2,1,0,0
2024-10-17 00:00:00.000,2024020065,20242025,Regular,2024-10-18 01:00:00.000,VAN,FLA,Away,3,2,1,2,4,0,0
2024-10-22 00:00:00.000,2024020099,20242025,Regular,2024-10-23 02:00:00.000,WPG,STL,Away,3,2,1,2,6,0,0
2024-10-22 00:00:00.000,2024020103,20242025,Regular,2024-10-23 03:00:00.000,CAR,EDM,Away,3,2,1,2,5,0,0
2024-10-22 00:00:00.000,2024020106,20242025,Regular,2024-10-23 02:30:00.000,COL,SEA,Away,3,2,1,2,7,0,0
2024-10-25 00:00:00.000,2024020120,20242025,Regular,2024-10-26 02:30:00.000,NSH,CHI,Away,3,2,1,2,7,0,0
2024-11-02 00:00:00.000,2024020184,20242025,Regular,2024-11-03 03:00:00.000,VAN,SJS,Away,3,2,1,2,10,0,0
2024-11-05 00:00:00.000,2024020196,20242025,Regular,2024-11-06 01:00:00.000,CGY,MTL,Away,3,2,1,2,13,0,0
2024-11-09 00:00:00.000,2024020226,20242025,Regular,2024-11-10 01:00:00.000,OTT,BOS,Away,3,2,1,2,14,0,0
2024-11-12 00:00:00.000,2024020248,20242025,Regular,2024-11-13 02:00:00.000,BOS,STL,Away,3,2,1,2,17,0,0
2024-11-13 00:00:00.000,2024020252,20242025,Regular,2024-11-14 01:30:00.000,DET,PIT,Away,3,2,1,2,15,0,0
2024-11-13 00:00:00.000,2024020256,20242025,Regular,2024-11-14 04:00:00.000,VGK,ANA,Away,3,2,1,2,16,0,0
